,Date,User,Nickname,Tweet,URL
52,2022-01-15 11:38:34+00:00,K0NG_I,콩💭,"🍹망원 다다랩 

 커스텀 커피,차,칵테일을 만들어주는곳. . . ♩¨̮
 
창균이 같은 칵테일 나왔어 ◜◡◝ ♡ 

문장은 전에 균이가 읽어준 명언으로 썻다 ♡̷̷̷‧˚₊

#몬베베가_몬베베에게_추천하는_맛집 https://t.co/z9sQxO9JXI",https://twitter.com/K0NG_I/status/1482316273350746114
53,2022-01-15 10:32:10+00:00,TAMI_0115,ᴛᴀᴍɪ 🫧,"망원 로스트피그

기본적으로 모든 메뉴가 맛있고 껍데기+구운파인애플 조합은 개미친놈  #몬베베가_몬베베에게_추천하는_맛집 https://t.co/kij9lhSrAT",https://twitter.com/TAMI_0115/status/1482299563163942915
54,2022-01-15 06:03:28+00:00,pan__n_,𝑷𝑨𝑵𝑵,"#채형원_너는세입도못먹겠지
생카 돌다가 만난 언니랑 망원 산청엔흑돼지 !
열심히 찍으니까 주인분이 요즘 이거 하는 분들이 엄청 많다고 이게 뭐냐고 여쭤보셔서..
먹은거 자랑하려고 인증샷 찍는거라 햇음🤧 https://t.co/reLo2bHogM",https://twitter.com/pan__n_/status/1482231942128947204
55,2022-01-14 11:54:05+00:00,1uv1ucky03,dd,"망원 다이너재키

비건식당이지만 논비건들도 함께 가기 좋은 곳이에요! 비건 메뉴도 다양하고 논비건들도 먹을 수 있는 메뉴들이 많아요!가지 좋아하시는 분들은 가지가지롤 강추합니다...토마토스튜와 함께 먹는 가지가 정말 맛있습니다..굿

#몬베베가_몬베베에게_추천하는_맛집 https://t.co/GIWlBvCwww",https://twitter.com/1uv1ucky03/status/1481957792240238592
56,2022-01-11 07:00:22+00:00,dearmyjy,와이,"📍망원 odd

형원군과 주여니가 생일이 똑같다는 사실 알고계셨나요?! 115 칭구들 미리 생일축하해&gt;&lt; 쥬냥이 닮은 딸기 케이크 넘 맛있어용! 크림도 딸기크림이라 굿굿😻
@ttangkong_g 

#맛있겠짛_주연앟
#이주연_난늘배고파_베베
#채형원_너는세입도못먹겠지
#몬베베가_몬베베에게_추천하는_맛집 https://t.co/9jXNpSz33a",https://twitter.com/dearmyjy/status/1480796712914817025
57,2022-01-08 17:33:40+00:00,im_what_immm,애옹,"❤️망원 다다랩

문장에 맞춰 커스텀 커피,차,칵테일을 만들어주는곳..❤️
저는 언젠가 균이가 좋아한다고 말한 로인드 가사로 했고
초록빛의 (ㄹㅇ잠겨죽을만큼양이많은) 칵테일을 받았습니다

...저 가게에서 내 칵테일이 가장 거대했어 진짜로

#몬베베가_몬베베에게_추천하는_맛집 https://t.co/N9t9G7qUsm",https://twitter.com/im_what_immm/status/1479868923680268288
58,2022-01-07 08:56:01+00:00,Gee_guung,찌그러진꿍,"망원_홍대 양꼬치집

5959양꼬치 망원점 

눈에보이길래 들어갔는데 생각보다 엄청 맛있었음 다음에 또 가고싶음 양꼬치 좋아하는 사람이면 가보세요!! 
가서 잇디스 하시길
 #몬베베가_몬베베에게_추천하는_맛집 https://t.co/KWlkNvXQkY",https://twitter.com/Gee_guung/status/1479376264213708801
59,2021-12-27 06:51:23+00:00,IM_99ooing,꾸잉,"#몬베베가_몬베베에게_추천하는_맛집

망원 마이클

미국 가정식 집인데 진짜루 가정집에 초대받아서 맛있는 음식 대접받은 느낌이었어요! 내부도 아늑하고 주인분도 넘 친절하시구 음식도 정성이 느껴져서 좋았습니당 https://t.co/BbP51D0VHn",https://twitter.com/IM_99ooing/status/1475358631684341764
60,2021-12-25 09:47:56+00:00,ternoon_3,터눈,"#몬베베가_몬베베에게_추천하는_맛집 망원

한강껍데기
걍 존맛입니데이~.. 꼭 드세요!! 맛저하쉐이~! https://t.co/B8IMW2qiLE",https://twitter.com/ternoon_3/status/1474678286383198212
61,2021-11-11 13:41:50+00:00,rocoarchive,roco,"❥ 망원 아마 

와인 / 칵테일 바.ᐟ 내추럴 와인이라고 계절마다 변동되는 글라스 와인 마셨고 칵테일은 사과 마티니 마셨는데 술 맛 꽤 나는 편이었지만 사과맛도 강한 편이라 달달하게~ 마셨어요 

#백현이를_위한_맛집투어 
#몬베베가_몬베베에게_추천하는_맛집 https://t.co/SBHUB6nUT9",https://twitter.com/rocoarchive/status/1458792083628515332
62,2021-10-30 10:19:28+00:00,foxorshark,참새,"🐾 망원 푸짐한 곱창

민혁이 생일축하하고 근처에서 맛저 ☺️💙
곱창전골인데 우동사리꼭꼭 추가해드셔요 저희는 두번추가해먹룸 ,, ~ 👍 볶음밥도 최고 진짜 ㅜ ㅜ 너무 술안쥬야 ,,,,

#몬베베가_몬베베에게_추천하는_맛집 https://t.co/mNnzRMo5h1",https://twitter.com/foxorshark/status/1454392502690009096
63,2021-10-24 05:08:20+00:00,teranigota,베베에나,"망원 광합성카페
브런치 카페인데 프렌치토스트랑 머쉬룸 에그 베네딕트 너무 맛있고ㅠ 음료도 예쁘다!

탑꾸 해둔게 안보여서 대니곰 집어서 나옴

#몬베베가_몬베베에게_추천하는_맛집 https://t.co/TOrIe06g0J",https://twitter.com/teranigota/status/1452139873893158924
64,2021-10-07 17:46:01+00:00,chidwiwk,이달,"📍망원 아틀리에 크레타
2층은 브런치 카페, 1층이 마켓인데 친구 따라갔다가 지갑 털리고 왔던 곳. 수제그레놀라와 타르타르 소스가 유명하고 그 외 와인, 치즈, 소품 등등 판매함. 가격도 그렇게 비싸지 않고 여기 집 앞에 있으면 너무 좋겠다고 오천번 말함🥺

#몬베베가_몬베베에게_추천하는_맛집 https://t.co/cMobBZKpDh",https://twitter.com/chidwiwk/status/1446169960720441364
65,2021-09-25 09:59:18+00:00,U_kh1122,유,"#몬베베가_몬베베에게_추천하는_맛집
망원 훌라훌라 짱마싯습니다..
연어포케랑 칠리쉬림프 먹었는데 궁합짱이었어요••♡♥ 칠리소스가 꽤나 매콤함.. 망원 가시는 분들 한번 들려보쎄요!! 강아지 출입 가능티비 https://t.co/jKVvEgaRGx",https://twitter.com/U_kh1122/status/1441703850444943360
66,2021-09-18 06:21:01+00:00,MinkimMock,목민,"#셔누_넌이미먹었겠지만또먹어야겠지
#몬베베가_몬베베에게_추천하는_맛집
#창균아_오늘의_일반식 @miraex_j 
망원 다이너재키
비건메뉴가 더 많은 곳..!
배고파서 허겁지겁 흡입했다 템페스테이크 비건두부덮밥 둘 다 넘넘 맛있음...👍 사이드메뉴랑 디저트랑 스무디 많던데 도장깨기하러 오고싶네 https://t.co/Tvx9WrRUZD",https://twitter.com/MinkimMock/status/1439112201969692676
67,2021-07-19 07:08:06+00:00,hariboshownu,하리보,#몬베베가_몬베베에게_추천하는_맛집 망원 셰발레리… 비건 양식당인데 버섯피자랑 뇨끼가 정말 예술…. 셔누야 꼭 들려봐 강츄야 https://t.co/7XyveCsexI,https://twitter.com/hariboshownu/status/1417018394289664000
68,2021-06-05 06:28:23+00:00,_jjinbun,찐빵,"#몬베베가_몬베베에게_추천하는_맛집 
망원시장 아츄
진짜 우유맛 나는 아이스크림이랑 갓 튀긴 오레오 츄러스... 감동 그자체💜 https://t.co/uwffs7Ebbt",https://twitter.com/_jjinbun/status/1401063330949713922
69,2021-05-15 04:49:47+00:00,collectdaeng,앞니 마티스,"쑨디와 함께하는 먹전지훈련 ...
훈련 대성공 😍

망원 형제만두
망원 도쿄빙수

@lovelyorkie_hw 
@deeplovehalf 

#몬베베가_몬베베에게_추천하는_맛집 https://t.co/fVifZ44rrt",https://twitter.com/collectdaeng/status/1393428373028818948
70,2021-05-10 16:11:33+00:00,inyoursea,tian,오늘 이션 추천 맛집 망원 강화통통생고기 다녀왔는데 .. 이션 먹짱 인정합니다 .. 맛집 감별사 #몬베베가_몬베베에게_추천하는_맛집 친구들도 인정했어 소주가 훅훅 들어가는 곳 .. #이션같이찌자 덕분에 맛있게 잘먹었습니다 https://t.co/WLCwePbbcp,https://twitter.com/inyoursea/status/1391788006109900801
71,2021-02-16 12:54:00+00:00,2mongdang,이몽당,"망원 청어람
짱맛있음 ~ 맥주 필수 🤣🤣
볶음밥은 저녁에만 가능함 !!
두 명 기준 전골 소, 볶음밥 추가하니까 딱 맞았어요
#몬베베가_몬베베에게_추천하는_맛집 
#민혁_너는이미북마크해놨겠지 https://t.co/YUlNJZb6bN",https://twitter.com/2mongdang/status/1361660098473467906
72,2020-11-16 13:18:30+00:00,mylovermh,첼,"망원 베이크숍나나
사람이 많아서 사진은 못찍었지만 분위기도 좋고 아기자기해서 좋은 곳! 가게 안에서 나는 빵 굽는 냄새도 좋고 밀크티가 안 달고 맛있어용 브리우니는 위에있는 살짝 녹아있는 마시멜로랑 같이 먹으면 존맛 ⋆⁺₊⋆ ♡̷̷̷ ⋆⁺₊⋆ 

#몬베베가_몬베베에게_추천하는_맛집 https://t.co/IARiTIMvJ5",https://twitter.com/mylovermh/status/1328326579731087365
73,2020-11-14 10:48:19+00:00,mylovermh,첼,"망원 헤키

입에 넣으면 살살 녹는다는 게 무슨 느낌인지 알 수 있었구,, 같이 주는 트러플 오일이랑 히말라야 소금 찍어먹으면 극락가는 맛! 가게가 좀 협소한 거 빼곤 다 좋았어요 
#몬베베가_몬베베에게_추천하는_맛집
#민혁_너는이미북마크해놨겠지 https://t.co/UWYwHWmRlf",https://twitter.com/mylovermh/status/1327564009881571329
74,2020-11-01 12:14:14+00:00,_jjinbun,찐빵,"#몬베베가_몬베베에게_추천하는_맛집  
[망원튀맥집] 떡볶이 신전떡볶이 맛 나요 JMTGR. 생맥도 테라라 깔끔쓰 (병맥은 블루문인거 같아요...속닥) 💜 https://t.co/mffoMBDHB3",https://twitter.com/_jjinbun/status/1322874590268305410
75,2020-07-29 14:00:50+00:00,2mongdang,이몽당,"1.망원 다이너재키
-비건 음식점, 벽에 고래포스터가 붙어있어서 민혁이 생각이 많이 나던 곳
2.로이스타코
-매장에거 바로 먹으면 더 👍
3.연남 땡스오트 
-요거트 말할 것도 없이 맛있음 샌드위치도 추천!
4.여의도 세상의 모든 아침
-뷰👍 음식도 생각보다 좋았음
#민혁_너는이미북마크해놨겠지 https://t.co/gCfdwzz4SE",https://twitter.com/2mongdang/status/1288474567388753920
76,2020-07-21 16:56:20+00:00,sushimx1122,스시🫧,"#기현_너는맘마먹고다시시작하겠지
강릉 독도네꼬막
망원 소금집
석촌 모터시티
을지로 진작 https://t.co/6uXSAE38ON",https://twitter.com/sushimx1122/status/1285619633697980417
77,2020-07-21 16:20:22+00:00,NUGOMM,누곰,"천사같은 익명님이 추천해주신 마포 홍대 합정 망원 맛집 리스트🌟  공익을 위해 공유합니닷‼️💛💛
 #몬베베가_몬베베에게_추천하는_맛집 https://t.co/3ZWyKIL3pc",https://twitter.com/NUGOMM/status/1285610579852394498
78,2020-07-21 14:15:34+00:00,laforetdeshw,까스,"[망원시장]
이라고 적었지만 시장밖입니다. 피자스쿨 맞은편 골목입구에 있는 옛날통닭집.. 이 집은 무엇보다 세상 청결한 주방이 최고입니다 물론 치킨도 바삭하고 1인1닭 삽가능 #몬베베가_몬베베에게_추천하는_맛집 https://t.co/piHrIzPqlb",https://twitter.com/laforetdeshw/status/1285579172941721600
79,2020-07-21 14:07:52+00:00,laforetdeshw,까스,"[망원시장]
망원시장의 보물 보물섬김밥.. 무려 비건도 가능한... 근데 여기는 저 보물섬김밥이 감칠맛 박살나서 핵존맛탱.. 

저 이거하려고 옛날폰 켰어요 #몬베베가_몬베베에게_추천하는_맛집 https://t.co/3mijb3EJsX",https://twitter.com/laforetdeshw/status/1285577235768807426
80,2020-07-21 13:55:16+00:00,laforetdeshw,까스,"[망원시장]
시장 들어가기전에 초입에 보면 떡볶이집 만두집 치킨집이 쪼로리 같이 있는데 그 떡볶이집에 파는 순대에요. 이 놈이 망원시장 인근 최고 미친놈입니다. 
 #몬베베가_몬베베에게_추천하는_맛집 https://t.co/Bw4IV4UJ8M",https://twitter.com/laforetdeshw/status/1285574062664646656
