,Date,User,Nickname,Tweet,URL
115,2022-01-16 08:47:51+00:00,foxorshark,참새,"🐾 상수 데우스

딸기케이크 짱 마싯어어어어어 🤧 
햄스터들이랑 상수나들이 〰 🖤
여기 디저트 완전 맛집이니까 합정 상수 가시면 꼭 가보시기 !! 저는 다먹고 사진찍어서 빵이 많이 없었는데 진짜 오억팔천개있어요 -!

 #몬베베가_몬베베에게_추천하는_맛집 https://t.co/DXZyXNNx5f",https://twitter.com/foxorshark/status/1482635698658508804
116,2022-01-16 07:39:48+00:00,G_Crevette,크림새우🍒,"#몬베베가_몬베베에게_추천하는_맛집

🍲 합정순대국

국물깔끔하고 고기랑 순대 잡내없고
양도 훌륭한데 김치가 진짜 미친놈이에요.
가게는 낡고 협소하지만, 화장실은 새로 리모델링해서 깔끔!! https://t.co/EeJqisnx3H",https://twitter.com/G_Crevette/status/1482618574422175747
117,2022-01-15 17:37:56+00:00,im_seul_mbb,스리슬,"#오프 _22.01.15
#몬베베가_몬베베에게_추천하는_맛집
 _합정 굴사냥

형원이 생일인지 내 생일인지 모르겠네 이거 원.. 채형원 너 어차피 쎄개밖에 못먹으니까 내가 대신 다 먹어쥼~~ 찐햄프 엠비비? 그게 나다.. 그게되나 유기현 조심하는게🐹 https://t.co/2vnpVF9Dvl",https://twitter.com/im_seul_mbb/status/1482406711504044032
118,2022-01-15 15:59:34+00:00,May_19978,메이,"📍합정 델문도

여기는 식사와 카페 같이 하는 곳이라 이동하기 귀찮은 사람에게 추천해요! 저는 디저트만 카라멜 커스터드 푸딩, 뱅쇼, 푸딩 아라모드를 먹었는데 푸딩은 평범하고 뱅쇼가 🤤

#맛있겠짛_주연앟
#이주연_난늘배고파_베베
#이재현_치킨이다가아니야
#몬베베가_몬베베에게_추천하는_맛집 https://t.co/HgAffQ6W6W",https://twitter.com/May_19978/status/1482381957241917440
119,2022-01-13 12:35:32+00:00,savekgirls,사백길,"합정 화연장 연화열도 / 양대창모듬구이 곱창전골
합정 너프 / 과일프렌치토스트
곱창구이랑 전골은 실패 않하니까~
프렌치토스트랑 딸기푸딩이 진쯔 맛있었음
@5889hj
@shutupYH
@immongsil
#몬베베가_몬베베에게_추천하는_맛집
#백길아_밥먹자 https://t.co/mEtwN4gVoE",https://twitter.com/savekgirls/status/1481605836233326593
120,2022-01-09 16:06:20+00:00,mbbyejin,꾸꿍한햄스터slow,"#몬베베가_몬베베에게_추천하는_맛집

📍합정 남산호랭이

제가 갔을 땐 웨이팅 10분정도 있긴 했는데 기다릴만 했구, 음식도 너무 맛있어요ㅜㅜ
몬베베인거 엄청 티냈더니 몬엑이들 노래두 5곡이나 틀어주셨어요♥️
꼭 가보세요 ㅎㅎ 가격도 나쁘지 않아요!! https://t.co/1Lac8Wq2G9",https://twitter.com/mbbyejin/status/1480209331400634371
121,2022-01-08 13:48:30+00:00,ii_imimim,엔쵸,"#몬베베가_몬베베에게_추천하는_맛집 
합정 오레노라멘
닭육수 베이스의 깔끔한 맛이고
닭고기 살살 녹아요..
내가 먹은 라멘 중에 제일 맛있었음ㅠㅠ❤
웨이팅 많은데 회전율이 좋아서 생각보다 많이 안기다리고 들어갈 수 있어요 https://t.co/6NxqYIYgdt",https://twitter.com/ii_imimim/status/1479812256972283904
122,2022-01-02 08:21:40+00:00,sprin93g,보망이,"🤎 합정 타오마라탕 🤎
진짜 진짜 맛이 위아원 그 자체임
#탱구야_여기존맛탱구리 #아일_여기당장구속시켜 #하현상_넌다못먹겠지 #여기맛있쿤 #몬베베가_몬베베에게_추천하는_맛집 #릴프릭이_함냐함냐함
@Ziqr_l @justbokk2 https://t.co/xSQJoxhm3a",https://twitter.com/sprin93g/status/1477555678646775808
123,2022-01-02 08:10:16+00:00,life_is_bus,남부,"합정 서강껍데기

미치겟다 ㅋㅋ 껍데기가 그렇게좋아요?ㅋㅋ

네, 정말 맛있으니 드셔보세요

 #승철이_이거먹고_볼빵빵했꾸마
#몬베베가_몬베베에게_추천하는_맛집 https://t.co/rhEdwESYMO",https://twitter.com/life_is_bus/status/1477552809579282432
124,2022-01-01 08:38:42+00:00,tkdksfo_x,나비,"#몬베베가_몬베베에게_추천하는_맛집
합정 남산호랭이 !! 가격이랑 양 양심적이에요👍👍 넓고 좋음ㅎㅎㅎㅎ
@betty5342 https://t.co/tYt35VusIx",https://twitter.com/tkdksfo_x/status/1477197578169352192
